id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
51610	Apartment	2022-01-19	Offers over $399,000	2022-04-15	$410,000	1	1	0	6.0	47.0	Burgess Rawson Residential	615-19-challis-street-dickson-act-2602
52036	House	2022-01-02	Under Contract	2022-03-20	$790,000	3	2	3		904.0	Guy Higgins Property Sales	312-bermagui-road-akolele-nsw-2546
52039	House	2022-01-03	$1,000,000 to $1,090,000	2022-03-24	$1,090,000	4	2	2		649.0	LJ Hooker Batemans Bay	29-michener-court-long-beach-nsw-2536
52061	House	2022-01-04	$579,000	2022-04-06	$559,000	3	1	1		740.0	Raine & Horne Goulburn	17-wheatley-avenue-goulburn-nsw-2580
52067	House	2022-01-04	Auction	2022-01-17	Undisclosed	4	2	2	4.5	465.0	Luton Gungahlin	48-hanley-street-casey-act-2913
52074	Townhouse	2022-01-04	Auction - $699,000+	2022-01-15	$720,000	3	2	2	6.0		Luton Gungahlin	33-363-mirrabei-drive-moncrieff-act-2914
52077	House	2022-01-04	Auction 25th Jan 2022	2022-01-25	$795,000	3	1	0	0.5	804.0	Sadil Quinlan	266-wheeler-crescent-wanniassa-act-2903
52078	House	2022-01-04	$320,000+	2022-03-03	Undisclosed	1	1	1	6.0		Ray White Canberra	116-41-chandler-street-belconnen-act-2617
52080	Townhouse	2022-01-04	Forthcoming Auction - $369,000+	2022-02-09	$383,000	1	1	1	3.5	323.6	Luton Gungahlin	39-de-bortoli-street-gungahlin-act-2912
52083	House	2022-01-04	Price Guide of $1,200,000 - $1,300,000	2022-03-09	Undisclosed	4	2	2		556.0	Whale Coast Realty	35-myuna-street-dalmeny-nsw-2546
52088	House	2022-01-04	AUCTION	2022-02-02	$2,270,000	3	2	2		2567.0	Henley Property - Jindabyne	17-lakeview-terrace-east-jindabyne-nsw-2627
52090	Alpine	2022-01-04	Guide $1.4 to 1.45 M	2022-02-16	Undisclosed	5	2	5			Henley Property - Jindabyne	7-ted-winter-close-jindabyne-nsw-2627
52091	House	2022-01-05	$759 000 - $799 000	2022-02-28	Undisclosed	3	1	1		619.0	Ian McNamee & Partners - Queanbeyan	132-uriarra-road-queanbeyan-nsw-2620
52096	House	2022-01-05	Auction	2022-02-05	$1,335,000	4	2	2	1.5	810.0	Luton Gungahlin	50-pokana-circuit-kaleen-act-2617
52099	House	2022-01-05	Auction 29/01/2022	2022-01-29	$1,151,000	4	2	2	4.0	651.0	Ray White Canberra	4-crespin-place-banks-act-2906
52102	Townhouse	2022-01-05	Auction 05/02/2022	2022-02-05	$690,000	3	2	2	6.0		Ray White Canberra	14-20-helpmann-street-bonython-act-2905
52103	Townhouse	2022-01-05	Auction 28/01/2022	2022-01-28	Undisclosed	3	2	2			Ray White Canberra	12-6-doeberl-place-karabar-nsw-2620
52104	House	2022-01-05	$899,000	2022-03-22	$887,000	3	1	2		628.0	Clearwater Real Estate Narooma	7-fishermans-cres-north-narooma-nsw-2546
52107	Townhouse	2022-01-05	Auction 29/01/2022	2022-01-29	Undisclosed	3	2	1	6.0		Ray White Canberra	10-93-chewings-street-scullin-act-2614
52108	Apartment	2022-01-05	Auction 27/01/2022	2022-01-20	Undisclosed	1	1	1	3.0	1868.4	Ray White Canberra	2-9-keith-street-scullin-act-2614
52116	Apartment	2022-01-05	420000+	2022-01-25	$420,000	2	1	1	6.0		Luton Dickson	602-2-akuna-street-city-act-2601
52117	Apartment	2022-01-05	Auction 5th Feb at 10.00am	2022-02-05	$520,000	2	2	2	6.0		LJ Hooker Tuggeranong	94-104-henry-kendall-street-franklin-act-2913
52118	House	2022-01-05	$741,000	2022-02-25	$741,000	3	1	1		725.0	Clearwater Real Estate Narooma	8-grenville-ave-tuross-head-nsw-2537
52120	House	2022-01-05	Auction	2022-01-29	Undisclosed	5	2	2	4.5	729.0	Luton Kippax	2-mag-place-dunlop-act-2615
52122	House	2022-01-05	Auction	2022-01-27	$935,500	3	1	1	0.5	778.0	LJ Hooker Belconnen	8-carron-street-page-act-2614
52124	House	2022-01-05	$669,000	2022-02-16	$615,000	3	1	1		556.0	LJ Hooker Tuross Head	15-brighton-street-tuross-head-nsw-2537
52129	House	2022-01-05	Auction	2022-01-29	Undisclosed	4	2	2	6.0	487.0	Luton Gungahlin	7-alan-watt-crescent-casey-act-2913
52131	House	2022-01-05	By Negotiation	2022-03-16	$850,000	3	1	1			Luton Tuggeranong	248-calabash-road-tinderry-nsw-2620
52132	Townhouse	2022-01-05	$799,000+	2022-01-20	$825,000	3	2	2	6.0	0.0	LJ Hooker Gungahlin	43-jumbuck-crescent-lawson-act-2617
52135	House	2022-01-05	By Negotiation	2022-02-21	$915,000	3	1	0	2.0	0.0	Confidence Real Estate	8-icely-place-kambah-act-2902
52141	House	2022-01-05	$1,150,000 - $1,250,000	2022-01-17	$1,230,000	6	2	4		556.0	My Agent Christine Ewin	121-ainslie-parade-tomakin-nsw-2537
52148	Apartment	2022-01-05	$475,000+	2022-02-04	Undisclosed	1	1	1	6.0		Impact Properties	39-2-edinburgh-avenue-city-act-2601
52154	Apartment	2022-01-06	$399,000+	2022-01-25	$400,000	1	1	1	6.0	0.0	Canberry Properties	37-21-christina-stead-street-franklin-act-2913
52159	House	2022-01-06	Auction 03/02/2022	2022-02-03	Undisclosed	3	2	1	1.5	703.0	Ray White Canberra	48-mortlock-circuit-kaleen-act-2617
52164	Townhouse	2022-01-06	Auction 28/01/2022	2022-01-28	Undisclosed	3	1	1	5.0	0.0	Ray White Canberra	31-70-bourne-street-cook-act-2614
52169	House	2022-01-06	Auction 29/01/2022	2022-01-29	Undisclosed	4	2	1	0.5	974.0	Ray White Canberra	6-crane-place-farrer-act-2607
52170	Apartment	2022-01-06	$549,000+	2022-02-16	Undisclosed	2	2	1	5.5		Ray White Canberra	406-16-moore-street-city-act-2601
52171	Apartment	2022-01-06	By Negotiation	2022-04-08	Undisclosed	1	1	1	6.0		Ray White Canberra	1323-240-bunda-street-city-act-2601
52173	House	2022-01-06	$ 799,999 +	2022-02-07	$866,000	3	2	2	6.0	0.0	Confidence Real Estate	20-mccredie-street-taylor-act-2913
52176	Apartment	2022-01-06	Auction, Sat 29th Jan at 11.30am	2022-01-29	$557,500	2	2	2	6.0	0.0	LJ Hooker Gungahlin	1-50-hillcrest-street-crace-act-2911
52177	House	2022-01-06	Auction - On Site	2022-02-12	Undisclosed	3	1	1	3.5	801.0	Ray White Canberra	6-biraban-place-macquarie-act-2614
52178	House	2022-01-06	Auction 28/01/2022	2022-01-28	Undisclosed	4	2	3	1.5	1264.0	Ray White Canberra	20-nepean-place-macquarie-act-2614
52179	House	2022-01-06	Auction 29/01/2022	2022-01-29	Undisclosed	2	1	1	3.0	448.0	Ray White Canberra	10-dugdale-street-cook-act-2614
52180	Townhouse	2022-01-06	Auction	2022-01-29	$588,500	2	1	1	2.0		Solely Properties	14-19-ashby-circuit-kambah-act-2902
52186	DuplexSemi-detached	2022-01-06	Auction 03/02/2022	2022-02-03	Undisclosed	3	1	0	1.5	552.25	Ray White Canberra	6-madigan-street-hackett-act-2602
52187	House	2022-01-06	Auction	2022-02-12	$775,000	2	1	2		657.6	LJ Hooker Malua Bay	6-bavarde-avenue-batemans-bay-nsw-2536
52188	House	2022-01-06	$880,000 - $930,000	2022-04-19	$902,000	4	2	1	0.0	607.0	My Agent Christine Ewin	81-ridge-street-catalina-nsw-2536
52199	House	2022-01-06	Auction 03/02/2022	2022-02-03	Undisclosed	5	4	2		974.8	Ray White Canberra	230-bicentennial-drive-jerrabomberra-nsw-2619
52200	Townhouse	2022-01-06	By Negotiation	2022-03-16	$985,000	3	2	2	4.5		Luton Tuggeranong	3-21-bernacchi-street-mawson-act-2607
52203	DuplexSemi-detached	2022-01-06	Auction on 5/2 @ Noon	2022-02-05	$1,175,000	3	1	0	1.5	428.0	Maloney's Property	75-lowanna-street-braddon-act-2612
52204	DuplexSemi-detached	2022-01-06	Auction	2022-02-05	$755,000	2	1	1	5.5		Maloney's Property	5-salomons-place-ainslie-act-2602
52206	House	2022-01-06	Offers above $979,000	2022-02-15	$1,000,000	5	3	2	1.5	1155.0	Town Residential	8-nicholls-place-higgins-act-2615
52233	House	2022-01-08	$729,000	2022-01-25	$715,000	3	2	1		632.3	LJ Hooker Malua Bay	16-flinders-way-surf-beach-nsw-2536
52234	Apartment	2022-01-10	$725,000 - $775,000	2022-05-27	$730,000	2	2	2			Sails Real Estate	62-1-elizabeth-street-merimbula-nsw-2548
52235	House	2022-01-10	$895,000	2022-02-09	Undisclosed	3	2	4	5.0	1103.0	The Real Estate Shop	6-doughty-place-gilmore-act-2905
52237	House	2022-01-10	$975,000+	2022-02-21	$990,000	4	2	1	1.0	938.0	Ray White Canberra	15-degraves-crescent-wanniassa-act-2903
52238	House	2022-01-10	Auction 05/02/2022	2022-02-05	$1,090,000	5	2	2	2.5	776.0	Ray White Canberra	35-willoughby-crescent-gilmore-act-2905
52240	DuplexSemi-detached	2022-01-10	Auction 05/02/2022	2022-02-05	$1,265,000	3	2	2	0.0	780.0	Ray White Canberra	24a-hovea-street-oconnor-act-2602
52242	Land	2022-01-10	$700,000 - $750,000	2022-03-08	$710,000	0	0	0		5.0	My Agent Christine Ewin	18-blackbutt-lane-malua-bay-nsw-2536
52245	House	2022-01-10	AUCTION	2022-02-09	$660,000	3	1	1		955.0	Raine & Horne Goulburn	5-kadwell-street-goulburn-nsw-2580
52246	House	2022-01-10	Auction- Onsite	2022-01-22	$1,251,000	4	2	2		930.0	Ray White Queanbeyan | Jerrabomberra	17-forest-drive-jerrabomberra-nsw-2619
52250	Land	2022-01-10	$570,000	2022-02-04	$570,000	0	0	0		538.0	LJ Hooker Queanbeyan – Jerrabomberra – Googong	lot-860-lanham-street-googong-nsw-2620
52253	House	2022-01-10	$ 805,000 +	2022-02-28	$870,000	3	2	2	6.0	0.0	Confidence Real Estate	18-mccredie-street-taylor-act-2913
52258	House	2022-01-10	$1,795,000	2022-04-01	$1,650,000	3	3	11		2.56	LJ Hooker Batemans Bay	3-sanctuary-forest-place-long-beach-nsw-2536
52263	House	2022-01-10	Open Home Cancelled	2022-02-16	$1,250,000	5	2	1		1467.0	Raine & Horne Southern Highlands	1270-nowra-road-fitzroy-falls-nsw-2577
52268	House	2022-01-10	SOLD	2022-02-07	$995,000	3	2	3		780.0	Smile Elite	6-corks-lane-milton-nsw-2538
