id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize
67011	residential	ELEVATED AND IMMACULATE IN LEAFY SURROUNDS	AUCTION	2022-10-04T09:24:17.240840+11:00	2022-10-04T12:08:48.286466+11:00	83 Lucy Gullett Circuit	CHISHOLM	ACT	2905	149.1276095	-35.4201868	House	1083	Michael Potter Real Estate	Michael Potter	4	2	2	1.0	953.0
67532	residential	Peaceful perfection!	Auction	2022-10-04T11:33:46.938953+11:00	2022-10-05T10:32:54.248318+11:00	3 Timbs Street	CASEY	ACT	2913	149.0861719	-35.1759071	House	409	Luton Gungahlin	Luke McAuliffe	4	2	2	5.0	536.0
67533	residential	An entertainers home in a blue-chip location	Auction	2022-10-04T10:50:57.531404+11:00	2022-10-04T12:47:36.466887+11:00	37 Cobby Street	CAMPBELL	ACT	2612	149.1551975	-35.2807902	House	440	LJ Hooker Canberra City	Kaylene King	4	2	2	1.5	
67550	residential	good.bones	Auction 2:30pm Saturday 22 October	2022-10-04T15:16:27.271794+11:00	2022-10-04T15:17:08.754074+11:00	68 Doyle Terrace	CHAPMAN	ACT	2611	149.0417003	-35.3605008	House	618	home.by holly	Bianca Way	4	2	2	1.0	871.0
67553	residential	CHARMING, UNIQUE AND QUITE SPECIAL	Auction 26/10/2022	2022-10-04T15:18:34.901784+11:00	2022-10-05T14:16:32.077681+11:00	92 Dexter Street	COOK	ACT	2614	149.0697621	-35.2581723	House	2853	Bastion Property Group	Rob Cappuccio	2	1	1	1.5	256.0
67571	residential	Contemporary style in a diamond position.	Auction on Saturday 29th October 2022 at 11:00am	2022-10-05T07:19:24.848089+11:00	2022-10-05T07:46:39.410026+11:00	54 Harold White Avenue	COOMBS	ACT	2611	149.0475497	-35.321029	House	2542	Hugo. Canberra	Hugo Mendez	4	2	2	6.0	532.0
67572	residential	Entertain and enjoy	Auction Saturday 29th October at 9am	2022-10-05T08:16:20.886337+11:00	2022-10-05T08:46:37.681141+11:00	41 Cuthbert Circuit	WANNIASSA	ACT	2903	149.083078	-35.398416	House	684	McCann Properties	Mark McCann	3	1	3	5.0	663.0
67573	residential	Townhouse living at its finest	Auction 29/10/2022	2022-10-05T09:09:36.814547+11:00	2022-10-07T15:16:33.669570+11:00	50/11 Gustin Street	COOMBS	ACT	2611	149.040123	-35.320683	Townhouse	1072	Independent Gungahlin	Andrew Potts	4	2	2	6.0	
67577	residential	Your Forever Home	Auction	2022-10-05T09:51:12.862582+11:00	2022-10-11T16:17:35.355639+11:00	30 Alexandria Street	HAWKER	ACT	2614	149.0337447	-35.2427713	House	437	LJ Hooker Belconnen	Kathy Komar	4	2	2	1.0	802.0
67578	residential	80m2 1 Bedroom + Study Apartment in 'Quayside'	$665,000	2022-10-05T10:11:44.660573+11:00	2022-10-05T10:32:38.305600+11:00	319/50 Eastlake Parade 	KINGSTON	ACT	2604	149.146427	-35.3135952	Apartment	626	Berkely Residential	Simon Richards	1	1	1	6.0	
67580	residential	This Stunning Property Will Tick all the Boxes!	AUCTION	2022-10-05T10:28:45.850039+11:00	2022-10-05T12:16:40.116819+11:00	38 Tewksbury Circuit	THEODORE	ACT	2905	149.1245146	-35.4452825	House	34	McIntyre Property	Betty Wark	4	2	4	4.0	1010.0
67581	residential	First Home, Investment or Downsizer	$550,000	2022-10-05T10:28:46.089935+11:00	2022-10-05T16:46:34.525743+11:00	5/7 Nernst Place	BANKS	ACT	2906	149.0949311	-35.4660264	Townhouse	34	McIntyre Property	Colin McIntyre	3	1	2	2.5	266.67
67582	residential	Modern Living Close to Everything	$370,000 - $390,000	2022-10-05T10:26:12.463273+11:00	2022-10-07T09:16:52.754069+11:00	23/6 High Street	QUEANBEYAN	NSW	2620	149.2431488	-35.3484517	Apartment	623	Ray White Queanbeyan | Jerrabomberra	Ben Mills	1	1	1		
67585	residential	Superb 1 Bedroom Apartment in Desirable Element Apartment Complex	$510,000	2022-10-05T10:44:49.801288+11:00	2022-10-05T13:31:37.967384+11:00	7/39 Eastlake Parade	KINGSTON	ACT	2604	149.1466316	-35.3131039	Apartment	626	Berkely Residential	Simon Richards	1	1	1	6.0	4938.0
67589	residential	Elara in Bruce	$285,000+	2022-10-05T11:06:10.474177+11:00	2022-10-06T12:01:31.409477+11:00	110/10 Thynne Street	BRUCE	ACT	2617	149.0917544	-35.2414508	Apartment	2862	Stone Gungahlin	Kris Hellier	1	1	1	4.0	
67590	residential	RISE to purchase your dream home!	$995,000+	2022-10-05T11:13:50.949327+11:00	2022-10-10T09:46:44.199346+11:00	27 Thynne Street	BRUCE	ACT	2617	149.093689	-35.2424106	Townhouse	436	LJ Hooker Dickson	Ryan Hedley	4	3	2	7.5	
67591	residential	The Lookout	Auction	2022-10-05T11:13:06.307491+11:00	2022-10-10T11:32:43.537915+11:00	29 Crawford Crescent	FLYNN	ACT	2615	149.0450172	-35.2010864	House	2647	Timothy Road	Tim McInnes	4	2	2	3.5	732.0
67594	residential	Move-in Ready Family Home	AUCTION	2022-10-05T11:34:39.242241+11:00	2022-10-11T12:16:46.494895+11:00	13 Brittlebank Circuit	BANKS	ACT	2906	149.1037049	-35.4679574	House	34	McIntyre Property	Colin McIntyre	4	2	2	4.0	752.0
67599	residential	Low Maintenance Lifestyle Awaits	Auction 29/10/2022	2022-10-05T12:24:20.829344+11:00	2022-10-05T14:47:20.188832+11:00	87 Eccles Circuit	MACGREGOR	ACT	2615	149.0035998	-35.2116301	Townhouse	232	Ray White Canberra	Leonie Taylor	2	1	1	6.0	
67604	residential	Reserve side living in Springbank Rise	Auction 29/10/2022	2022-10-05T13:30:16.017967+11:00	2022-10-10T15:47:10.571383+11:00	35 Spratt Court	CASEY	ACT	2913	149.1026802	-35.1571883	House	232	Ray White Canberra	Vince Pinneri	2	2	1	6.0	115.0
67605	residential	Modern Family Home	Auction 29/10/2022	2022-10-05T13:27:09.815180+11:00	2022-10-10T10:02:38.793575+11:00	42 Lionel Rose Street	HOLT	ACT	2615	148.99931	-35.2287881	House	232	Ray White Canberra	Vince Pinneri	3	2	2	4.5	250.0
67606	residential	Classic Family Living	Auction 29/10/2022	2022-10-05T13:26:22.201283+11:00	2022-10-10T15:47:28.493136+11:00	16 Grampians Street	PALMERSTON	ACT	2913	149.1149839	-35.1977275	House	232	Ray White Canberra	Vince Pinneri	4	2	2	5.0	715.0
67611	residential	Peaceful Living with Tranquil Surrounds...and plenty of yard	Auction	2022-10-05T14:30:41.391142+11:00	2022-10-10T14:46:40.574351+11:00	10 Karrugang Circuit	NGUNNAWAL	ACT	2913	149.1006107	-35.1710374	House	409	Luton Gungahlin	Adrian Giampietro	3	1	1	2.5	
67612	residential	Townhouse living with a quiet, peaceful, and easy lifestyle.	Auction	2022-10-05T14:27:21.114962+11:00	2022-10-10T17:16:53.640647+11:00	18/141 Macfarlane Burnet Avenue	MACGREGOR	ACT	2615	149.0019057	-35.2056607	Townhouse	441	LJ Hooker Kippax	Sarah Turnbull	2	1	1	6.0	203.0
67613	residential	Very Neat Home in a Great Street!	Auction 29/10/2022	2022-10-05T14:22:18.031927+11:00	2022-10-11T16:03:14.127710+11:00	5 Narryer Close	PALMERSTON	ACT	2913	149.1280132	-35.1977245	House	232	Ray White Canberra	Mark Johnstone	3	2	2	2.0	987.9
67616	residential	Looking For Certainty?	Auction	2022-10-05T14:34:15.492827+11:00	2022-10-07T13:31:35.447901+11:00	6 Moy Place	MACQUARIE	ACT	2614	149.0633064	-35.2491661	House	437	LJ Hooker Belconnen	Michael Wellsmore	3	2	2	1.5	956.0
67617	residential	Home Sweet Hawker Home	Auction	2022-10-05T14:58:59.187245+11:00	2022-10-07T11:01:56.189817+11:00	30 Kulgera Street	HAWKER	ACT	2614	149.0364563	-35.249963	House	629	Badenoch Real Estate	Symon Badenoch	4	2	2	1.0	
67619	residential	Understated Elegance !	$1,750,000 - $1,850,000	2022-10-05T15:03:41.761926+11:00	2022-10-11T12:31:44.521730+11:00	4 Camphorwood Close	JERRABOMBERRA	NSW	2619	149.1942126	-35.4033084	House	624	Ian McNamee & Partners - Queanbeyan	Lucy MacGregor	4	3	4		1173.0
67624	residential	Your Dual Occupancy Dream Home Awaits	Auction 29/10/2022	2022-10-05T15:36:16.609360+11:00	2022-10-10T11:02:52.163029+11:00	6 Nullagine Street	FISHER	ACT	2611	149.0555511	-35.3640335	House	232	Ray White Canberra	Cameron Whitnall	5	3	1	3.5	813.0
67625	residential	Home Sweet Home - Freshly Updated !	Auction 22/10/2022	2022-10-05T15:47:56.978239+11:00	2022-10-09T09:16:51.013810+11:00	59 Armstrong Crescent	HOLT	ACT	2615	149.0100153	-35.2223344	House	636	Impact Properties	Raj Sahu	3	1	4	1.5	882.0
67629	residential	A slice of luxury in a secluded setting backing Cooleman Ridge!	Auction	2022-10-05T16:05:52.308564+11:00	2022-10-10T14:17:21.739945+11:00	9 Lincoln Close	CHAPMAN	ACT	2611	149.0439863	-35.3642884	House	703	Bertram Ellis	Tom Ellis	4	2	2	1.5	
67630	residential	Easy Living in Dickson.	Offers Over $590,000	2022-10-05T16:08:10.533648+11:00	2022-10-06T14:16:51.100500+11:00	210/6 Cape Street	DICKSON	ACT	2602	149.1370319	-35.2515734	Unit	623	Ray White Queanbeyan | Jerrabomberra	Brad O'Mara	2	2	1	6.0	
67636	residential	marsden.welcome	Auction Saturday 29 October 11:30am	2022-10-05T16:51:54.611360+11:00	2022-10-10T15:31:48.742059+11:00	52 Marsden Street	DICKSON	ACT	2602	149.1455971	-35.251791	House	618	home.by holly	Holly Komorowski	4	2	2	0.0	695.0
67644	residential	The very best in townhouse living	Auction	2022-10-06T07:11:36.113694+11:00	2022-10-10T11:31:32.588514+11:00	1/2 Bellette Street	WESTON	ACT	2611	149.0621162	-35.3334824	Townhouse	414	Luton Weston Creek & Molonglo Valley	Tim and Justine Burke	2	2	2	6.0	
67645	residential	A perfect first home	$599,000+	2022-10-06T07:11:36.268115+11:00	2022-10-06T13:31:33.718927+11:00	19/5 Skuta Place	DENMAN PROSPECT	ACT	2611	149.0244742	-35.29980219999999	Apartment	414	Luton Weston Creek & Molonglo Valley	Tim and Justine Burke	2	2	2	6.0	
67646	residential	two.knox	$330,000+	2022-10-06T08:04:23.927172+11:00	2022-10-06T10:31:34.274225+11:00	2/156 Knox Street	WATSON	ACT	2602	149.1595942	-35.2435707	Apartment	618	home.by holly	Holly Komorowski	2	1	1	5.0	
67647	residential	This must be the one you've been waiting for!	Auction	2022-10-06T08:17:26.989502+11:00	2022-10-10T11:16:51.411003+11:00	15/50 Peter Cullen Way	WRIGHT	ACT	2611	149.0354254	-35.3231642	Townhouse	414	Luton Weston Creek & Molonglo Valley	Luke Metcalfe	3	2	2	5.5	
67648	residential	Spacious home with stunning views	Auction Saturday 29th October at 11:15am	2022-10-06T08:17:15.248570+11:00	2022-10-09T18:16:40.570695+11:00	40 Halfrey Circuit	WANNIASSA	ACT	2903	149.0913956	-35.3993527	House	684	McCann Properties	Mark McCann	4	2	2	1.5	897.0
67649	residential	Brand New, Just For You!	By Negotiation	2022-10-06T08:39:11.991764+11:00	2022-10-11T13:32:04.584409+11:00	1008/2 Grazier Lane	BELCONNEN	ACT	2617	149.0719813	-35.2401725	Apartment	232	Ray White Canberra	Samuel Fitzsimmons	2	2	1	6.0	
67650	residential	North-East Facing Three Bedroom Apartment	$670,000+	2022-10-06T08:54:17.585352+11:00	2022-10-10T15:16:35.947706+11:00	809/2 Gribble Street	GUNGAHLIN	ACT	2912	149.1308614	-35.1815983	Apartment	2300	VERV Property	Jason Roses	3	2	2	6.0	
67652	residential	Elevated, flexible living in the central and desirable suburb of Hughes.	Auction Saturday 29th October 10:00am OnSite	2022-10-06T08:59:04.506500+11:00	2022-10-10T10:31:44.019581+11:00	49 Kitchener Street	HUGHES	ACT	2605	149.0999828	-35.3348209	House	599	Cream Residential	Chris Wilson	4	2	1	0.5	724.0
67653	residential	Your Large Family Entertainment Home !	Auction - 29/10/22	2022-10-06T08:50:38.973511+11:00	2022-10-06T10:01:43.141388+11:00	55 Halloran Drive	JERRABOMBERRA	NSW	2619	149.2033904	-35.3792953	House	624	Ian McNamee & Partners - Queanbeyan	Lucy MacGregor	4	2	3		875.0
67654	residential	My spacious single-level opportunity	$695,000+	2022-10-06T09:02:40.074836+11:00	2022-10-06T10:01:36.265702+11:00	6/15 Wyselaskie Circuit	KAMBAH	ACT	2902	149.0622528	-35.3780362	Townhouse	513	My Morris	Zac Morris	3	1	2	1.5	
67656	residential	secret.beauty	Auction 9:00am Saturday 22 October	2022-10-06T09:21:51.251398+11:00	2022-10-09T19:31:35.142958+11:00	16 Mcgowen Close	SPENCE	ACT	2615	149.0622642	-35.1960998	House	618	home.by holly	Cris O'Brien	3	2	2	1.5	558.0
67657	residential	opportunity.awaits	Auction 1:30pm Saturday 22 October	2022-10-06T09:21:51.395672+11:00	2022-10-08T17:16:38.250318+11:00	19 Embley Street	HOLDER	ACT	2611	149.0429778	-35.3336987	House	618	home.by holly	Bianca Way	4	3	3	2.5	717.0
67659	residential	Award Winning Architectural Masterpiece	Auction	2022-10-06T09:34:44.685527+11:00	2022-10-11T11:31:36.427899+11:00	40 Ivo Whitton Circuit	KAMBAH	ACT	2902	149.0374199	-35.3946212	House	413	Luton Tuggeranong	Kelsey White	5	2	5	2.0	920.0
67661	residential	sanctuary.home	$680,000+	2022-10-06T09:32:18.535443+11:00	2022-10-06T10:32:24.241101+11:00	75 Jim Pike Avenue	GORDON	ACT	2906	149.077821	-35.4588815	Townhouse	618	home.by holly	Sally Strang	3	1	2	3.0	187.0
67663	residential	High-End Contemporary Abode	Auction 29/10/2022	2022-10-06T09:50:42.177629+11:00	2022-10-11T13:16:38.009204+11:00	2 Jutland Street	CRACE	ACT	2911	149.1112521	-35.2042512	House	2853	Bastion Property Group	Theo Koutsikamanis	4	2	2	5.0	
67666	residential	Modern Bright & Brand New 3rd Floor Apartment	Auction	2022-10-06T10:04:17.600487+11:00	2022-10-07T15:47:28.429887+11:00	312/335 Anketell Street	GREENWAY	ACT	2900	149.0732758	-35.4224284	Apartment	437	LJ Hooker Belconnen	Happy Singh	2	2	1	6.5	
67669	residential	Blue Chip Location!	345,000+	2022-10-06T10:23:56.501774+11:00	2022-10-11T19:46:27.985257+11:00	214/38 Gozzard street 	GUNGAHLIN	ACT	2912	149.1324339	-35.1855613	Apartment	2086	Real Estate Australia	Peter Tolhurst	1	1	1	6.0	
67670	residential	Entertainers delight	Auction: Saturday 22nd October On Site at  9:00am	2022-10-06T10:28:25.899755+11:00	2022-10-10T11:47:29.031951+11:00	15 Campaspe Circuit	KALEEN	ACT	2617	149.1094452	-35.2282032	House	443	LJ Hooker Manuka	Samuel Thompson	4	2	3	4.0	808.0
67674	residential	Designer apartment with stunning water views.	By Negotiation	2022-10-06T10:45:45.489725+11:00	2022-10-06T11:01:53.184088+11:00	1302/19 Marcus Clarke Street 	CITY	ACT	2601	149.1248959	-35.2851644	Apartment	626	Berkely Residential	Michael Lyristakis	2	2	2	4.5	
67675	residential	Four-bedroom family home in Fraser	Auction 29/10/2022	2022-10-06T10:41:19.230581+11:00	2022-10-11T09:01:54.281338+11:00	50 Kerrigan Street	FRASER	ACT	2615	149.0356943	-35.1935578	House	232	Ray White Canberra	Jake Battenally	4	2	2	1.5	1169.0
67677	residential	Hidden emerald in Amaroo. 	$549,000+	2022-10-06T10:51:39.189118+11:00	2022-10-07T08:46:35.836054+11:00	40/815 Horse Park Drive	AMAROO	ACT	2914	149.1318657	-35.1642971	Unit	409	Luton Gungahlin	Peter White	2	1	2	6.0	
67679	residential	Remarkable Family Residence	Auction Saturday 29 October 2022, 12pm On Site	2022-10-06T10:55:53.395287+11:00	2022-10-11T16:02:13.794312+11:00	4 Howarth Place	CHAPMAN	ACT	2611	149.0388318	-35.3580602	House	620	Morrissey Property	Trenton Morrissey	5	3	2	0.0	904.0
67685	residential	Nest or Invest	$365,000+	2022-10-06T11:07:16.077886+11:00	2022-10-07T13:31:32.186469+11:00	22/153 Murranji Street	HAWKER	ACT	2614	149.041879	-35.2467654	Unit	232	Ray White Canberra	Vince Pinneri	2	1	1	0.0	
67686	residential	Future Proofing your Family 	Auction	2022-10-06T11:07:16.300861+11:00	2022-10-11T12:04:03.576468+11:00	8 Bavay Place	PAGE	ACT	2614	149.0563132	-35.2374445	House	437	LJ Hooker Belconnen	George Vlandis	5	2	3	1.5	779.0
67692	residential	Your Perfect Jerrabomberra Home	$599,000 - $629,000	2022-10-06T11:57:40.941203+11:00	2022-10-11T11:31:39.529955+11:00	9/23 Elm Way	JERRABOMBERRA	NSW	2619	149.2015727	-35.3875339	Townhouse	624	Ian McNamee & Partners - Queanbeyan	Lucy MacGregor	2	1	1		
67693	residential	Now This is Just a Bit Different!	Auction 29/10/22	2022-10-06T11:49:12.262908+11:00	2022-10-07T11:02:16.409453+11:00	12 Bonython Street	DOWNER	ACT	2602	149.144027	-35.2472699	House	436	LJ Hooker Dickson	Stephen Bunday	3	1	2	4.0	706.0
67699	residential	SPECTACULAR VIEWS	offers above $850,000	2022-10-06T12:55:52.475839+11:00	2022-10-11T16:46:39.425414+11:00	18/34 Leahy Close	NARRABUNDAH	ACT	2604	149.1412457	-35.3439415	Apartment	433	Maloney's Property	Philip Kouvelis	3	2	2	4.0	
