id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize
119580	rental	Gungahlin Convenience	$470 per week	2025-04-01T14:17:24.857473+11:00	2025-04-07T14:12:52.145633+10:00	14/90 Gozzard Street	GUNGAHLIN	ACT	2912	149.1335218	-35.1811661	Apartment	232	Ray White Canberra	George Roberts	1	1	1		
119582	rental	Beautiful 3 Bedroom Home, In a Fantastic Location!	$700 per week	2025-04-01T14:28:16.461519+11:00	2025-04-04T15:36:54.863534+11:00	27 Atherton Street	DOWNER	ACT	2602	149.13956	-35.244075	House	412	Luton Manuka	Chauntelle Macic	3	1	1	1.0	
119584	rental	Prestige Apartment Living in Griffith 	$825 per week	2025-04-01T14:33:22.719861+11:00	2025-04-07T11:37:05.766658+10:00	4/111 Canberra Avenue	GRIFFITH	ACT	2603	149.146338	-35.3218678	Apartment	232	Ray White Canberra	Matthew Findley	3	2	2	6.0	
119587	rental	1604 Peak View Road, Peak View 	$290pw Partially Furnished 	2025-04-01T15:11:38.676394+11:00	2025-04-01T15:12:23.110333+11:00	1604 Peak View Road	PEAK VIEW	NSW	2630	149.3951321	-36.0639109	House	2302	One Agency Craig Schofield	Jodi Alexander	2	1	0		
119588	rental	 Tri-level townhouse with Triple Garage	$730 per week	2025-04-01T15:11:18.680945+11:00	2025-04-07T11:12:46.868167+10:00	32/1 Skuta Place	DENMAN PROSPECT	ACT	2611	149.0245045	-35.3000157	Townhouse	232	Ray White Canberra	Matthew Findley	3	2	3		
119589	rental	Modern comfort meets unbeatable convenience in the heart of Griffith!	$700 P/W	2025-04-01T15:25:23.484420+11:00	2025-04-02T14:36:53.204342+11:00	159/3 Light Street	GRIFFITH	ACT	2603	149.1358858	-35.3215864	House	436	LJ Hooker Dickson	Antone Smith	2	1	1		
119591	rental	19 Walla Street, Cooma 	$460 per week	2025-04-01T16:11:31.954289+11:00	2025-04-04T10:42:07.803863+11:00	19 Walla Street	COOMA	NSW	2630	149.1387785	-36.2208078	House	2302	One Agency Craig Schofield	Jodi Alexander	3	1	2		
119599	rental	Brand New Luxury Three Bedroom Townhouse at Nue Gungahlin!	$725 Per Week	2025-04-01T16:22:57.077377+11:00	2025-04-04T13:52:08.118881+11:00	A02/63 Camilleri Way	GUNGAHLIN	ACT	2912	149.1411125	-35.189858	Townhouse	440	LJ Hooker Canberra City	Ashley Callander	3	2	2		
119601	rental	Two Bedroom Apartment in the Heart of Kingston	$605 per week	2025-04-01T16:49:08.918480+11:00	2025-04-04T16:32:21.176981+11:00	27/15 Howitt Street	KINGSTON	ACT	2604	149.144334	-35.3167849	Apartment	433	Maloney's Property	Ned Hibbert	2	1	1		
119608	rental	Lovely Two Bedroom Apartment	$575 per week	2025-04-02T09:21:37.486051+11:00	2025-04-02T09:21:57.428104+11:00	391/1 Anthony Rolfe Avenue	GUNGAHLIN	ACT	2912	0.0	0.0	Apartment	1818	Knight Property Solutions	Samantha Gibbs	2	2	2		
119609	rental	3 Bedroom Unit With 3 Bathrooms! 	$680 per week	2025-04-02T09:21:23.426207+11:00	2025-04-04T16:41:45.050119+11:00	17/40 Philip Hodgins Street	WRIGHT	ACT	2611	149.0340783	-35.3173477	Apartment	438	LJ Hooker Woden/Weston	Amaya Massis	3	3	2		
119613	rental	Lovingly Renovated Ainslie Residence - 6 Month only Lease 	$1,150 per week	2025-04-02T09:27:25.898399+11:00	2025-04-07T16:51:57.904791+10:00	14 Ebden street	AINSLIE	ACT	2602	149.1470803	-35.2689229	House	232	Ray White Canberra	George Roberts	5	3	1	7.5	
119615	rental	Modern one bedroom unit with Mountain Views!	$485.00	2025-04-02T10:14:35.207254+11:00	2025-04-03T14:33:04.712196+11:00	22/21 Christina Stead Street	FRANKLIN	ACT	2913	149.1476954	-35.2023622	Apartment	436	LJ Hooker Dickson	Daniella Jadric	1	1	1		
119616	rental	Kaleen is Calling!	$630 per week	2025-04-02T10:14:37.047119+11:00	2025-04-07T12:37:12.867621+10:00	9 Pambula Street	KALEEN	ACT	2617	149.1089677	-35.2357624	House	232	Ray White Canberra	Matthew Findley	3	1	2		
119618	rental	Split Level Home With Stunning Views	$750 Per Week	2025-04-02T10:23:49.407406+11:00	2025-04-04T13:51:45.726288+11:00	37 Louisa Lawson Crescent	GILMORE	ACT	2905	149.1359454	-35.4123689	House	440	LJ Hooker Canberra City	Jenna Cattanach	4	2	1	1.5	
119621	rental	RENOVATED DELIGHT! 	$750 pw	2025-04-02T10:36:22.125548+11:00	2025-04-07T12:06:40.327499+10:00	5 Snowy Place	KALEEN	ACT	2617	149.1037848	-35.2292716	House	409	Luton Gungahlin	Candice Soodyall-Wills	3	2	2	0.0	
119623	rental	Charming Countryside Living	$1,000 per week	2025-04-02T10:55:21.151460+11:00	2025-04-02T11:07:07.334662+11:00	389 Wallaroo Road	WALLAROO	NSW	2618	149.0233444	-35.1600828	House	232	Ray White Canberra	Geniveve Condell	5	3	2		
119625	rental	ATTRACTIVE FAMILY HAVEN!	$630.00 per week	2025-04-02T11:09:25.929467+11:00	2025-04-04T16:56:38.958363+11:00	1 Spica Street	GIRALANG	ACT	2617	149.1013778	-35.2134372	House	412	Luton Manuka	Manpreet Kaur	3	1	2	1.5	
119626	rental	Lovely Townhouse	$650 Per Week	2025-04-02T11:14:40.899488+11:00	2025-04-03T14:06:44.435449+11:00	35D Madgwick Street	COOMBS	ACT	2611	149.0422044	-35.3189783	Townhouse	440	LJ Hooker Canberra City	Lagan Puri	3	2	2		
119631	rental	fristrom.home	$780 per week	2025-04-02T11:29:19.337792+11:00	2025-04-02T12:07:08.395966+11:00	8 Fristrom Crescent	LYNEHAM	ACT	2602	149.1235398	-35.2378103	House	618	home.by holly	Jackie Rickman	3	2	4	2.0	
119633	rental	Fantastic 2 Bedroom Unit in a Great Location!	$450 p/week	2025-04-02T11:29:16.801157+11:00	2025-04-03T12:56:41.499924+11:00	1/34 Lorn Road	CRESTWOOD	NSW	2620	149.2110116	-35.3476792	Apartment	435	LJ Hooker Tuggeranong	Casey Myers	2	1	1		
119650	rental	48 Victoria Street Cooma	$880 per week	2025-04-02T14:21:38.420651+11:00	2025-04-02T14:22:15.461786+11:00	48 Victoria Street	COOMA	NSW	2630	149.1287981	-36.2414022	House	2302	One Agency Craig Schofield	Jodi Alexander	6	3	0		
119652	rental	Uptown in Gungahlin	$525 per week	2025-04-02T14:36:32.272344+11:00	2025-04-07T10:31:51.729358+10:00	35/2 Hinder Street	GUNGAHLIN	ACT	2912	149.1373171	-35.1843716	Apartment	232	Ray White Canberra	Matthew Findley	2	1	1		
119659	rental	Stylish living	$540pw	2025-04-02T15:14:40.871741+11:00	2025-04-03T13:36:48.433219+11:00	25/112 McMichael Terrace	DENMAN PROSPECT	ACT	2611	149.0222659	-35.3000895	House	438	LJ Hooker Woden/Weston	Sarah Miller	2	1	1		
119660	rental	27A Wilson Street, Braidwood	$450 per week	2025-04-02T15:20:29.475079+11:00	2025-04-03T10:07:06.710893+11:00	27A Wilson Street	BRAIDWOOD	NSW	2622	149.7952118	-35.4415016	House	3199	Raine & Horne Goulburn	Brodie Collett	3	1	3		
119661	rental	Space, Style, and Location All in One - Your new home awaits	$900 P/W	2025-04-02T15:24:28.682304+11:00	2025-04-02T16:56:50.585385+11:00	87 Macarthur Avenue	O'CONNOR	ACT	2602	149.1295897	-35.25999820000001	House	436	LJ Hooker Dickson	Antone Smith	4	1	4		767.0
119665	rental	Close to the Action!	$530 per week	2025-04-02T15:50:22.514271+11:00	2025-04-07T12:27:03.613934+10:00	6/57 Totterdell Street	BELCONNEN	ACT	2617	149.0596786	-35.2326875	Townhouse	232	Ray White Canberra	Matthew Findley	2	1	1		
119667	rental	Affordable Two Bedroom Property in Holder	$540 per week	2025-04-02T15:55:21.828360+11:00	2025-04-08T09:26:36.246938+10:00	30/63 Pearson St	HOLDER	ACT	2611	149.0485764	-35.3411255	Townhouse	433	Maloney's Property	Ned Hibbert	2	1	1		
119668	rental	Effortless Living 	$560 Per Week	2025-04-02T16:06:06.224083+11:00	2025-04-02T19:46:39.517909+11:00	405/8 Gribble Street	GUNGAHLIN	ACT	2912	149.1311378	-35.1824031	Apartment	410	MARQ Property	Alex Piatrova	2	1	1		
119669	rental	Spacious Townhouse in a Quiet Location	$650 per week	2025-04-02T16:02:16.371506+11:00	2025-04-07T11:22:18.820132+10:00	2/133 Kelleway Ave	NICHOLLS	ACT	2913	149.0931753	-35.180878	Townhouse	433	Maloney's Property	Ned Hibbert	3	2	2		
119672	rental	Spacious, Private & Quality Modern Home	$805.00 per week 	2025-04-02T16:28:49.559002+11:00	2025-04-07T17:06:40.739812+10:00	8 Arndt Street	FORDE	ACT	2914	149.1474724	-35.1694285	House	34	McIntyre Property	Jacinta Hassan	4	2	2		
119681	rental	Expansive living in the Inner North	$1100 Per Week	2025-04-02T18:40:11.287541+11:00	2025-04-03T16:11:45.850020+11:00	98 Cowper Street	DICKSON	ACT	2602	149.1392395	-35.2551027	House	410	MARQ Property	Alex Piatrova	4	2	2		
119686	rental	peace and quiet	$700 per week	2025-04-03T09:01:35.979647+11:00	2025-04-03T09:02:53.847582+11:00	4 Kissel Close	STRATHNAIRN	ACT	2615	0.0	0.0	Townhouse	618	home.by holly	Jackie Rickman	4	2	2	3.0	
119687	rental	urban. sophistication	$545 per week	2025-04-03T09:01:36.080831+11:00	2025-04-03T09:02:59.779425+11:00	26/20 Allara Street	CITY	ACT	2601	149.133438	-35.282644	Apartment	618	home.by holly	Jackie Rickman	1	1	1	6.0	
119691	rental	Two Bedroom Townhouse in an Ideal Location	$550 Per Week	2025-04-03T09:02:13.125754+11:00	2025-04-03T09:03:24.628476+11:00	7 Ware Place	BELCONNEN	ACT	2617	149.068757	-35.2475583	Townhouse	437	LJ Hooker Belconnen	Leasing Team	2	1	2		
119694	rental	1 Bedroom Unit Available in Kambah	$430 p/week	2025-04-03T09:01:22.804141+11:00	2025-04-03T09:51:45.782750+11:00	33B Bateman Street	KAMBAH	ACT	2902	149.0480816	-35.3914733	DuplexSemi-detached	435	LJ Hooker Tuggeranong	Casey Myers	1	1	1		
119697	rental	Spacious and private home with fantastic natural light	$750 Per Week	2025-04-03T09:04:27.523958+11:00	2025-04-07T09:12:16.607622+10:00	22 Parilla Street	CRACE	ACT	2911	149.1047554	-35.2018707	Townhouse	437	LJ Hooker Belconnen	Leasing Team	3	2	1		
119701	rental	Lovely Three Bedroom Home	$650 per week	2025-04-03T09:16:36.101410+11:00	2025-04-03T09:17:00.258180+11:00	48 Buckingham Street	AMAROO	ACT	2914	149.1371997	-35.1665947	House	1818	Knight Property Solutions	Samantha Gibbs	3	2	2		
